id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result
28,180194767,Czech Liga Pro,Milos Pospisil,Jiri Svec,2025-08-26 06:00:00,To Win,Home,,1.8,1.25,44.000000000000014,,,2025-08-26 21:14:28,2025-08-26 21:14:28,
29,180194768,Czech Liga Pro,Rostyslav Kliuchuk,Milan Klement,2025-08-26 06:30:00,To Win,Away,,1.83,1.25,46.40000000000002,,,2025-08-26 21:14:28,2025-08-26 21:14:28,
30,180194768,Czech Liga Pro,Rostyslav Kliuchuk,Milan Klement,2025-08-26 06:30:00,Total,Under U 78.5,78.5,1.83,1.25,46.40000000000002,,,2025-08-26 21:14:28,2025-08-26 21:14:28,
31,180194770,Czech Liga Pro,Jaromir Cernik,Matej Pycha,2025-08-26 06:30:00,To Win,Away,,2.2,1.398601398601399,57.29999999999998,,,2025-08-26 21:14:28,2025-08-26 21:14:28,
32,180194779,Czech Liga Pro,Milan Klement,Sebastian Kasnik,2025-08-26 07:30:00,To Win,Home,,1.72,1.25,37.6,,,2025-08-26 21:14:29,2025-08-26 21:14:29,
33,180194779,Czech Liga Pro,Milan Klement,Sebastian Kasnik,2025-08-26 07:30:00,To Win,Away,,2.0,1.6666666666666667,19.999999999999996,,,2025-08-26 21:14:29,2025-08-26 21:14:29,
34,180194781,Czech Liga Pro,Matej Pycha,Stanislav Pinc,2025-08-26 07:30:00,To Win,Home,,2.5,1.4285714285714286,74.99999999999997,,,2025-08-26 21:14:29,2025-08-26 21:14:29,
35,180194787,Czech Liga Pro,Milos Pospisil,Pavel Sprynar,2025-08-26 08:00:00,To Win,Home,,1.53,1.1627906976744187,31.579999999999984,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
36,180194788,Czech Liga Pro,Stepan Kysely,Tomas Petrek,2025-08-26 08:00:00,To Win,Home,,2.62,2.0,31.000000000000007,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
37,180194788,Czech Liga Pro,Stepan Kysely,Tomas Petrek,2025-08-26 08:00:00,Total,Under U 77.5,77.5,1.8,1.5384615384615383,17.000000000000004,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
38,180194789,Czech Liga Pro,Ondrej Cmerda,Milan Klement,2025-08-26 08:30:00,To Win,Away,,2.2,1.25,76.00000000000003,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
39,180194789,Czech Liga Pro,Ondrej Cmerda,Milan Klement,2025-08-26 08:30:00,Total,Under U 77.5,77.5,1.83,1.3571428571428572,34.8421052631579,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
40,180194791,Czech Liga Pro,Jiri Grohsgott,Matej Pycha,2025-08-26 08:30:00,To Win,Away,,2.1,1.2658227848101267,65.89999999999999,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
41,180194791,Czech Liga Pro,Jiri Grohsgott,Matej Pycha,2025-08-26 08:30:00,Total,Under U 75.5,75.5,1.83,1.5384615384615383,18.95000000000001,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
42,180194792,Czech Liga Pro,Jiri Svec,Milan Cetner,2025-08-26 08:30:00,To Win,Away,,2.37,2.0,18.500000000000007,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
43,180194794,Czech Liga Pro,Tomas Postelt,Erik Mares,2025-08-26 10:00:00,To Win,Away,,1.83,1.5625000000000002,17.11999999999999,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
44,180194798,Czech Liga Pro,Martin Sychra,Matej Nohejl,2025-08-26 10:00:00,Total,Under U 77.5,77.5,1.83,1.4545454545454546,25.812500000000004,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
45,180194799,Czech Liga Pro,Michael Sedlacek,Jakub Plachta,2025-08-26 10:00:00,To Win,Away,,1.9,1.1320754716981132,67.83333333333333,,,2025-08-26 21:14:30,2025-08-26 21:14:30,
47,180194804,Czech Liga Pro,Jan Szotkowski,Michal Kratochvil,2025-08-26 10:30:00,To Win,Away,,1.83,1.3043478260869568,40.29999999999997,,,2025-08-26 21:14:31,2025-08-26 21:14:31,
48,180194804,Czech Liga Pro,Jan Szotkowski,Michal Kratochvil,2025-08-26 10:30:00,Total,Under U 77.5,77.5,1.83,1.5714285714285714,16.454545454545453,,,2025-08-26 21:14:31,2025-08-26 21:14:31,
49,180194805,Czech Liga Pro,Erik Mares,Vojtech Koubek,2025-08-26 11:00:00,To Win,Home,,2.1,1.4285714285714286,47.0,,,2025-08-26 21:14:31,2025-08-26 21:14:31,
50,180194808,Czech Liga Pro,Matej Nohejl,Jaroslav Bares,2025-08-26 11:00:00,Total,Under U 75.5,75.5,1.83,1.4545454545454546,25.812500000000004,,,2025-08-26 21:14:31,2025-08-26 21:14:31,
51,180194809,Czech Liga Pro,Jakub Plachta,Jan Szotkowski,2025-08-26 11:00:00,To Win,Home,,2.37,1.3636363636363635,73.80000000000003,,,2025-08-26 21:14:31,2025-08-26 21:14:31,
52,180194812,Czech Liga Pro,Tibor Kolenic,Milan Fisera,2025-08-26 11:30:00,To Win,Home,,3.0,2.5,20.000000000000007,,,2025-08-26 21:14:32,2025-08-26 21:14:32,
54,180194819,Czech Liga Pro,Milan Fisera,Tomas Dousa,2025-08-26 12:00:00,Total,Over O 76.5,76.5,1.83,1.5,21.999999999999996,,,2025-08-26 21:14:32,2025-08-26 21:14:32,
55,180194826,Czech Liga Pro,Jakub Plachta,Michal Kratochvil,2025-08-26 12:30:00,To Win,Home,,1.8,1.1999999999999997,50.000000000000036,,,2025-08-26 21:14:32,2025-08-26 21:14:32,
56,180194826,Czech Liga Pro,Jakub Plachta,Michal Kratochvil,2025-08-26 12:30:00,To Win,Away,,1.9,1.5000000000000004,26.66666666666663,,,2025-08-26 21:14:32,2025-08-26 21:14:32,
57,180194827,Czech Liga Pro,Jan Zajicek,Martin Parizek,2025-08-26 14:00:00,To Win,Home,,1.8,1.3333333333333333,35.00000000000001,,,2025-08-26 21:14:32,2025-08-26 21:14:32,
58,180194827,Czech Liga Pro,Jan Zajicek,Martin Parizek,2025-08-26 14:00:00,Total,Under U 77.5,77.5,1.83,1.0,83.0,,,2025-08-26 21:14:32,2025-08-26 21:14:32,
59,180194828,Czech Liga Pro,Marcel Pikous,Jiri Louda,2025-08-26 14:00:00,Total,Under U 77.5,77.5,1.83,1.5384615384615383,18.95000000000001,,,2025-08-26 21:14:33,2025-08-26 21:14:33,
60,180194829,Czech Liga Pro,Michal Zahradka,Radek Rose,2025-08-26 14:00:00,Total,Under U 75.5,75.5,1.83,1.2,52.500000000000014,,,2025-08-26 21:14:33,2025-08-26 21:14:33,
61,180194836,Czech Liga Pro,Jaroslav Bares,Martin Sobisek,2025-08-26 14:30:00,To Win,Home,,1.72,1.3888888888888888,23.839999999999996,,,2025-08-26 21:14:33,2025-08-26 21:14:33,
62,180194839,Czech Liga Pro,Martin Parizek,Erik Mares,2025-08-26 15:00:00,To Win,Away,,1.8,1.4285714285714286,25.99999999999999,,,2025-08-26 21:14:33,2025-08-26 21:14:33,
63,180194843,Czech Liga Pro,Tomas Milota,Ivan Jemelka,2025-08-26 15:00:00,To Win,Away,,1.57,1.3043478260869568,20.366666666666646,,,2025-08-26 21:14:33,2025-08-26 21:14:33,
64,180194845,Czech Liga Pro,Karel Schopf,Marcel Pikous,2025-08-26 15:30:00,To Win,Home,,2.0,1.6666666666666667,19.999999999999996,,,2025-08-26 21:14:34,2025-08-26 21:14:34,
65,180194845,Czech Liga Pro,Karel Schopf,Marcel Pikous,2025-08-26 15:30:00,Total,Under U 76.5,76.5,1.83,1.5,21.999999999999996,,,2025-08-26 21:14:34,2025-08-26 21:14:34,
66,180194847,Czech Liga Pro,Martin Sobisek,Martin Sychra,2025-08-26 15:30:00,To Win,Away,,1.83,1.5384615384615388,18.94999999999999,,,2025-08-26 21:14:34,2025-08-26 21:14:34,
67,180194849,Czech Liga Pro,Jan Zajicek,Erik Mares,2025-08-26 16:00:00,To Win,Home,,1.72,1.2121212121212122,41.89999999999999,,,2025-08-26 21:14:34,2025-08-26 21:14:34,
68,180194849,Czech Liga Pro,Jan Zajicek,Erik Mares,2025-08-26 16:00:00,Total,Under U 76.5,76.5,1.83,1.5555555555555554,17.64285714285716,,,2025-08-26 21:14:34,2025-08-26 21:14:34,
69,180194850,Czech Liga Pro,Marcel Pikous,Jan Sucharda,2025-08-26 16:00:00,To Win,Home,,2.37,2.0,18.500000000000007,,,2025-08-26 21:14:34,2025-08-26 21:14:34,
70,180194850,Czech Liga Pro,Marcel Pikous,Jan Sucharda,2025-08-26 16:00:00,Total,Under U 77.5,77.5,1.83,1.5384615384615383,18.95000000000001,,,2025-08-26 21:14:34,2025-08-26 21:14:34,
71,180194854,Czech Liga Pro,Adrian Walek,Ivan Jemelka,2025-08-26 16:00:00,To Win,Home,,2.0,1.6666666666666667,19.999999999999996,,,2025-08-26 21:14:34,2025-08-26 21:14:34,
72,180195449,Czech Liga Pro,Michal Zahradka,Vratislav Petracek,2025-08-26 16:00:00,To Win,Away,,2.5,2.0408163265306127,22.499999999999986,,,2025-08-26 21:14:34,2025-08-26 21:14:34,
73,180194856,Czech Liga Pro,Jiri Louda,Karel Schopf,2025-08-26 16:30:00,To Win,Away,,2.0,1.6666666666666667,19.999999999999996,,,2025-08-26 21:14:35,2025-08-26 21:14:35,
74,180194857,Czech Liga Pro,Radek Rose,Michal Vavrecka,2025-08-26 16:30:00,Total,Over O 76.5,76.5,1.83,1.4285714285714286,28.09999999999999,,,2025-08-26 21:14:35,2025-08-26 21:14:35,
75,180194858,Czech Liga Pro,Daniel Tuma,Martin Sobisek,2025-08-26 16:30:00,To Win,Home,,3.25,2.0,62.5,,,2025-08-26 21:14:35,2025-08-26 21:14:35,
76,180194860,Czech Liga Pro,Tomas Milota,Marek Blejchar,2025-08-26 16:30:00,To Win,Away,,3.5,1.7241379310344829,102.99999999999999,,,2025-08-26 21:14:35,2025-08-26 21:14:35,
77,180194862,Czech Liga Pro,Michal Regner,Jiri Zuzanek,2025-08-26 18:00:00,Total,Under U 74.5,74.5,1.83,1.5384615384615383,18.95000000000001,,,2025-08-26 21:14:35,2025-08-26 21:14:35,
78,180194866,Czech Liga Pro,Michal Hampl,Ondrej Cmerda,2025-08-26 18:30:00,Total,Under U 78.5,78.5,1.83,1.3076923076923077,39.94117647058823,,,2025-08-26 21:14:36,2025-08-26 21:14:36,
79,180194867,Czech Liga Pro,Kamil Novak,Jiri Plachy,2025-08-26 19:00:00,Total,Under U 78.5,78.5,1.83,1.5833333333333335,15.578947368421048,,,2025-08-26 21:14:36,2025-08-26 21:14:36,
80,180194871,Czech Liga Pro,Michal Regner,Karel Schopf,2025-08-26 19:30:00,To Win,Away,,1.72,1.3888888888888888,23.839999999999996,,,2025-08-26 21:14:36,2025-08-26 21:14:36,
81,180194871,Czech Liga Pro,Michal Regner,Karel Schopf,2025-08-26 19:30:00,Total,Under U 77.5,77.5,1.83,1.5,21.999999999999996,,,2025-08-26 21:14:36,2025-08-26 21:14:36,
82,180194877,Czech Liga Pro,Kamil Novak,Jaroslav Prokupek,2025-08-26 20:30:00,Total,Under U 75.5,75.5,1.83,1.3571428571428572,34.8421052631579,1.0,0.8300000000000001,2025-08-26 21:14:36,2025-08-27 12:56:02,68
83,180194880,Czech Liga Pro,Rostyslav Kliuchuk,Michal Hampl,2025-08-26 20:30:00,Total,Under U 77.5,77.5,1.83,1.1428571428571428,60.12500000000001,,,2025-08-26 21:14:37,2025-08-26 21:14:37,
84,180194883,Czech Liga Pro,Ondrej Cmerda,Sebastian Kasnik,2025-08-26 21:00:00,Total,Under U 78.5,78.5,1.83,1.5833333333333335,15.578947368421048,1.0,0.8300000000000001,2025-08-26 21:14:37,2025-08-27 12:56:02,62
85,180194886,Czech Liga Pro,Michal Hampl,Oleksandr Kolisnyk,2025-08-26 21:30:00,To Win,Home,,2.0,1.6,25.0,0.0,-1.0,2025-08-26 21:14:37,2025-08-27 12:56:03,Oleksandr Kolisnyk
86,180194887,Czech Liga Pro,Pavel Fojt,Kamil Novak,2025-08-26 22:00:00,Total,Under U 77.5,77.5,1.83,1.3571428571428572,34.8421052631579,0.0,-1.0,2025-08-26 21:14:37,2025-08-27 12:56:03,90
