id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result
171,180257983,Czech Liga Pro,Tomas Kucera,Vladimir Kubat,2025-08-27 18:30:00,To Win,Away,,3.75,1.6666666666666667,125.0,,,2025-08-26 21:14:52,2025-08-26 21:14:52,
172,180257986,Czech Liga Pro,Jiri Havel,Pavel Sprynar,2025-08-27 19:00:00,To Win,Home,,1.9,1.4285714285714286,32.999999999999986,,,2025-08-26 21:14:53,2025-08-26 21:14:53,
173,180257987,Czech Liga Pro,Martin Sychra,Richard Krejci,2025-08-27 19:30:00,To Win,Away,,2.37,1.1627906976744187,103.81999999999998,,,2025-08-26 21:14:53,2025-08-26 21:14:53,
174,180257989,Czech Liga Pro,Jiri Buryan,Tomas Kucera,2025-08-27 19:30:00,Total,Under U 76.5,76.5,1.83,1.1111111111111112,64.70000000000002,,,2025-08-26 21:14:53,2025-08-26 21:14:53,
175,180257990,Czech Liga Pro,Martin Sobisek,Daniel Tuma,2025-08-27 20:00:00,To Win,Away,,3.25,2.0,62.5,1.0,2.25,2025-08-26 21:14:54,2025-08-28 14:47:19,Daniel Tuma
176,180257991,Czech Liga Pro,Dan Volhejn,Ales Bayer,2025-08-27 20:00:00,To Win,Away,,2.5,1.3888888888888888,80.0,1.0,1.5,2025-08-26 21:14:54,2025-08-28 14:47:19,Ales Bayer
177,180257993,Czech Liga Pro,Tomas Janata,Richard Krejci,2025-08-27 20:30:00,To Win,Away,,1.53,1.1627906976744187,31.579999999999984,1.0,0.53,2025-08-26 21:14:54,2025-08-28 14:47:19,Richard Krejci
179,180257995,Czech Liga Pro,Jiri Havel,Tomas Kucera,2025-08-27 20:30:00,Total,Under U 75.5,75.5,1.83,1.3333333333333333,37.25000000000001,0.0,-1.0,2025-08-26 21:14:54,2025-08-28 14:47:19,95
180,180257998,Czech Liga Pro,Ales Bayer,Jiri Ruzicka,2025-08-27 21:00:00,To Win,Home,,2.62,1.7543859649122808,49.339999999999996,0.0,-1.0,2025-08-26 21:14:55,2025-08-28 14:47:19,Jiri Ruzicka
181,180258001,Czech Liga Pro,Richard Krejci,Martin Sobisek,2025-08-27 21:30:00,To Win,Home,,2.37,1.25,89.60000000000001,0.0,-1.0,2025-08-26 21:14:55,2025-08-28 14:47:19,Martin Sobisek
184,180258006,Czech Liga Pro,Vladimir Kubat,Jiri Havel,2025-08-27 22:00:00,To Win,Home,,2.5,1.3888888888888888,80.0,1.0,1.5,2025-08-26 21:14:56,2025-08-28 14:47:19,Vladimir Kubat
285,180189483,TT Elite Series,Stanislaw Wnek,Jaroslaw Rolak,2025-08-26 21:35:00,To Win,Away,,2.1,1.0,110.00000000000001,1.0,1.1,2025-08-26 21:15:10,2025-08-27 12:56:03,Jaroslaw Rolak
286,180189483,TT Elite Series,Stanislaw Wnek,Jaroslaw Rolak,2025-08-26 21:35:00,Total,Under U 75.5,75.5,1.83,1.4615384615384615,25.210526315789483,1.0,0.8300000000000001,2025-08-26 21:15:10,2025-08-27 12:56:03,48
287,180189485,TT Elite Series,Bartlomiej Wisniewski,Jaroslaw Rolak,2025-08-26 22:00:00,To Win,Home,,2.1,1.0,110.00000000000001,1.0,1.1,2025-08-26 21:15:10,2025-08-27 12:56:03,Bartlomiej Wisniewski
