player,matches,wins,losses,win_rate,total_games,avg_games_per_match,matches_with_at_least_one_set,percentage_with_at_least_one_set,games_list
Josef Ruzicka,10,2,4,20.0%,359,35.9,4,40.0%,"[np.int64(49), 0, 0, np.int64(57), np.int64(68), 0, 0, np.int64(102), np.int64(83), 0]"
Martin Dolezal,10,1,1,10.0%,158,15.8,2,20.0%,"[0, 0, 0, np.int64(89), 0, 0, 0, np.int64(69), 0, 0]"
