id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,estimated_roi,result,profit,actual_result,sent_at
3983,Challenger Series TT,Nikola Horvat,Marco Stefanidis,2025-09-11 10:00:00,Total,Under U 75.5,75.5,1.8,35.00000000000001,,,,2025-09-10 20:16:25
3984,Challenger Series TT,Manuel Kupfer,Damian Zech,2025-09-11 10:30:00,Total,Under U 71.5,71.5,2.0,39.99999999999999,,,,2025-09-10 20:16:25
3985,Challenger Series TT,Nikola Horvat,Mohamad Mousavitaher,2025-09-11 13:30:00,To Win,Home,,3.0,20.000000000000007,,,,2025-09-10 20:16:25
3986,Challenger Series TT,Nikola Horvat,Mohamad Mousavitaher,2025-09-11 13:30:00,Total,Under U 73.5,73.5,1.83,28.09999999999999,,,,2025-09-10 20:16:25
3987,Challenger Series TT,Manuel Kupfer,Samuel Amann,2025-09-11 14:00:00,Total,Under U 75.5,75.5,1.83,64.70000000000002,,,,2025-09-10 20:16:25
3988,Challenger Series TT,Manuel Kupfer,Nikola Horvat,2025-09-11 15:00:00,Total,Under U 72.5,72.5,1.83,37.25000000000001,,,,2025-09-10 20:16:25
3989,Challenger Series TT,Damian Zech,Nikola Horvat,2025-09-11 16:30:00,Total,Under U 75.5,75.5,1.83,37.25000000000001,,,,2025-09-10 20:16:25
90,Czech Liga Pro,David Tomasch,Jiri Havel,2025-08-27 02:00:00,To Win,Away,,2.25,57.49999999999999,1.0,1.25,Jiri Havel,2025-08-26 21:28:07
94,Czech Liga Pro,Jiri Buryan,Tomas Kucera,2025-08-27 02:30:00,Total,Under U 75.5,75.5,1.83,64.70000000000002,1.0,0.8300000000000001,59,2025-08-26 21:28:07
97,Czech Liga Pro,Jiri Havel,Jiri Buryan,2025-08-27 03:00:00,To Win,Home,,2.25,57.49999999999999,0.0,-1.0,Jiri Buryan,2025-08-26 21:28:07
99,Czech Liga Pro,Ladislav Havel 1956,Jaroslav Strnad 1964,2025-08-27 03:00:00,To Win,Away,,3.5,75.0,0.0,-1.0,Ladislav Havel 1956,2025-08-26 21:28:07
108,Czech Liga Pro,Jaroslav Strnad 1961,Miloslav Lubas,2025-08-27 06:00:00,To Win,Home,,4.5,80.00000000000001,,,,2025-08-26 21:28:07
109,Czech Liga Pro,Jakub Levicky,Roman Guliak,2025-08-27 06:00:00,To Win,Home,,2.25,68.75,,,,2025-08-26 21:28:07
125,Czech Liga Pro,Jakub Levicky,Marek Blejchar,2025-08-27 08:00:00,To Win,Home,,2.62,96.50000000000001,,,,2025-08-26 21:28:07
126,Czech Liga Pro,Miloslav Lubas,Vladimir Kubat,2025-08-27 08:30:00,To Win,Away,,3.0,80.0,,,,2025-08-26 21:28:07
146,Czech Liga Pro,Rostyslav Kliuchuk,Robin Pacha,2025-08-27 14:00:00,Total,Under U 75.5,75.5,1.83,37.25000000000001,,,,2025-08-27 12:43:49
147,Czech Liga Pro,Petr Sudek,Radek Bartunek,2025-08-27 14:00:00,To Win,Home,,1.8,25.99999999999999,,,,2025-08-27 12:43:50
148,Czech Liga Pro,Josef Medek,Jan Zajicek,2025-08-27 14:00:00,To Win,Away,,2.62,96.50000000000001,,,,2025-08-26 21:28:07
149,Czech Liga Pro,Josef Medek,Jan Zajicek,2025-08-27 14:00:00,Total,Under U 76.5,76.5,1.83,37.25000000000001,,,,2025-08-27 12:43:49
150,Czech Liga Pro,Petr Macela,Erik Mares,2025-08-27 14:30:00,To Win,Home,,1.36,36.00000000000001,,,,2025-08-27 12:43:49
151,Czech Liga Pro,Petr Macela,Erik Mares,2025-08-27 14:30:00,To Win,Away,,3.0,46.999999999999986,,,,2025-08-27 12:43:49
152,Czech Liga Pro,Tadeas Zika,Michal Cabis,2025-08-27 14:30:00,To Win,Away,,1.9,32.999999999999986,,,,2025-08-27 12:43:49
153,Czech Liga Pro,Robin Pacha,Oleksandr Kolisnyk,2025-08-27 15:00:00,To Win,Home,,2.0,50.0,,,,2025-08-27 12:43:49
154,Czech Liga Pro,Jan Zajicek,Petr Macela,2025-08-27 15:00:00,To Win,Away,,1.72,72.0,,,,2025-08-26 21:28:07
155,Czech Liga Pro,Jan Zajicek,Petr Macela,2025-08-27 15:00:00,Total,Under U 76.5,76.5,1.83,37.25000000000001,,,,2025-08-27 12:43:49
156,Czech Liga Pro,Dmitro Parhomenko,Tomas Paldus,2025-08-27 15:30:00,Total,Over O 76.5,76.5,1.83,28.09999999999999,,,,2025-08-27 12:43:50
157,Czech Liga Pro,Lukas Krok,Petr Sudek,2025-08-27 15:30:00,To Win,Away,,2.1,47.0,,,,2025-08-27 12:43:49
158,Czech Liga Pro,Erik Mares,Josef Medek,2025-08-27 15:30:00,To Win,Home,,2.5,74.99999999999997,,,,2025-08-26 21:28:07
160,Czech Liga Pro,Michal Cabis,Vitezslav Burdik,2025-08-27 15:30:00,Total,Under U 75.5,75.5,1.83,30.714285714285726,,,,2025-08-27 12:43:50
161,Czech Liga Pro,Petr Sudek,Vaclav Dolezal,2025-08-27 16:00:00,To Win,Home,,2.5,74.99999999999997,,,,2025-08-26 21:28:07
