player,matches,wins,losses,win_rate,total_games,avg_games_per_match,matches_with_at_least_one_set,percentage_with_at_least_one_set,games_list
Lukas Heinzl,3,1,2,33.3%,259,86.3,3,100.0%,"[np.int64(94), np.int64(70), np.int64(95)]"
Jakub Makara,3,2,1,66.7%,242,80.7,3,100.0%,"[np.int64(91), np.int64(98), np.int64(53)]"
