league_name,home_team,away_team,selection,odds,result
Setka Cup,Roman Reznychenko,Yevhen Masko,Under U 73.5,1.83,0.0
Setka Cup,Oleksandr Mishchenko,Eduard Rubtsov,Under U 74.5,1.83,1.0
Setka Cup,Roman Cherevko,Roman Reznychenko,Under U 74.5,1.83,0.0
Setka Cup,Vitalii Levshyn,Nazar Danyliuk,Under U 76.5,1.83,1.0
Setka Cup,Serhii Solomko,Stefan Yakimenko,Under U 77.5,1.83,1.0
Setka Cup,Vitalii Kobets,Hryhorii Kulishov,Under U 76.5,1.83,0.0
Setka Cup,Roman Zholubak,Vitalii Levshyn,Over O 72.5,1.83,0.0
Setka Cup,Vitalii Levshyn,Dmytro Zeniuk,Over O 63.5,1.83,1.0
Setka Cup,Roman Zholubak,Nazar Danyliuk,Under U 71.5,1.83,1.0
Setka Cup,Nazar Danyliuk,Dmytro Zeniuk,Under U 69.5,1.83,0.0
Setka Cup,Yevhenii Sokoltsov,Hryhorii Kulishov,Under U 78.5,1.83,1.0
Setka Cup,Serhii Chuliukov,Hryhorii Kulishov,Under U 76.5,1.83,0.0
Setka Cup,Vitalii Khamurda,Oleksandr Naida,Over O 75.5,1.83,0.0
Setka Cup,Vitalii Kobets,Yevhenii Sokoltsov,Under U 76.5,1.83,0.0
Setka Cup,Oleksii Shyndel,Vitalii Khamurda,Over O 75.5,1.83,1.0
Setka Cup,Vasil Salivonchyk,Evhenii Trehub,Under U 78.5,1.83,1.0
Setka Cup,Daniil Yevdokymov,Fedir Voinarovskyi,Over O 76.5,1.83,1.0
Setka Cup,Serhii Honcharenko,Vasyl Matviichuk,Under U 77.5,1.83,1.0
Setka Cup,Yurii Parahailo,Ruslan Novak,Over O 76.5,1.83,1.0
Setka Cup,Vitalii Mukhin,Oleksandr Leonenko,Under U 75.5,1.83,1.0
Setka Cup,Mykhailo Vivatenko,Bohdan Plakhtyi,Under U 75.5,1.83,1.0
Setka Cup,Maksym Tkalich,Maksym Stetsenko,Over O 77.5,1.83,1.0
Setka Cup,Jan Rochowanski,Tomas Liska,Over O 77.5,1.83,1.0
Setka Cup,Hryhorii Prokopenko,Ihor Sorochan,Over O 67.5,1.83,1.0
Setka Cup,Dmytro Shchegelskyi,Volodymyr Kuzmych,Over O 76.5,1.83,1.0
Setka Cup,Mykola Chornobai,Vitalii Korniichuk,Over O 76.5,1.83,1.0
Setka Cup,Marek Drbohlav,Ondrej Mezera,Over O 78.5,1.83,1.0
Setka Cup,Denys Khavanskyi,Serhii Hovorunets,Over O 76.5,1.83,1.0
Setka Cup,Daniil Yevdokymov,Oleksandr Ovsiienko,Over O 74.5,1.83,1.0
Setka Cup,Oleksandr Ziakun,Oleksandr Syksa,Over O 75.5,1.83,1.0
Setka Cup,Miloslav Ullman,Lukas Rulc,Over O 77.5,1.83,1.0
Setka Cup,Mykola Pohorilyi,Vasyl Matviichuk,Under U 77.5,1.83,1.0
Setka Cup,Oleh Ponomarenko,Oleksandr Bryzhevatyi,Under U 73.5,1.83,1.0
Setka Cup,Ondrej Kaderabek,Ondrej Mezera,Over O 77.5,1.83,1.0
Setka Cup,Serhii Solomko,Andrii Kurtenko,Under U 75.5,1.83,0.0
Setka Cup,Bohdan Plakhtyi,Evhenii Trehub,Under U 75.5,1.83,1.0
Setka Cup,Maksym Stetsenko,Fedir Voinarovskyi,Over O 75.5,1.83,0.0
Setka Cup,Volodymyr Kuzmych,Oles Kotsyumbas,Over O 76.5,1.83,1.0
Setka Cup,Marek Drbohlav,Dominik Horak,Over O 77.5,1.83,0.0
Setka Cup,Anatolii Kovalenko,Maksym Tkalich,Over O 75.5,1.83,0.0
Setka Cup,Oleh Kurylenko,Dmitro Kuzmenko,Over O 75.5,1.83,1.0
Setka Cup,Oleksandr Bryzhevatyi,Oleksandr Leonenko,Under U 76.5,1.83,0.0
Setka Cup,Ondrej Kaderabek,Marek Drbohlav,Over O 77.5,1.83,1.0
Setka Cup,Denys Khavanskyi,Andrii Kurtenko,Under U 73.5,1.83,1.0
Setka Cup,Daniil Yevdokymov,Maksym Stetsenko,Over O 75.5,1.83,0.0
Setka Cup,Jan Rochowanski,Miloslav Ullman,Over O 75.5,1.83,0.0
Setka Cup,Ondrej Mezera,Dominik Horak,Over O 78.5,1.83,0.0
Setka Cup,Mykhailo Vivatenko,Oleksandr Maslovskyi,Over O 71.5,1.83,0.0
Setka Cup,Maksym Tkalich,Oleksandr Ovsiienko,Over O 76.5,1.83,0.0
Setka Cup,Dmitro Kuzmenko,Oleksandr Syksa,Over O 73.5,1.83,0.0
Setka Cup,Serhii Honcharenko,Ihor Sorochan,Over O 75.5,1.83,1.0
Setka Cup,Dmytro Shchegelskyi,Ruslan Novak,Over O 77.5,1.83,0.0
Setka Cup,Vitalii Mukhin,Oleksandr Bryzhevatyi,Under U 76.5,1.83,0.0
Setka Cup,Serhii Solomko,Stefan Yakimenko,Under U 77.5,1.83,1.0
Setka Cup,Anatolii Nikolenko,Evhenii Trehub,Under U 75.5,1.83,0.0
Setka Cup,Anatolii Kovalenko,Fedir Voinarovskyi,Over O 76.5,1.83,1.0
Setka Cup,Mykola Pohorilyi,Hryhorii Prokopenko,Under U 73.5,1.83,1.0
Setka Cup,Daniil Yevdokymov,Maksym Tkalich,Over O 74.5,1.83,1.0
Setka Cup,Oleksandr Ziakun,Dmitro Kuzmenko,Over O 75.5,1.83,0.0
Setka Cup,Ihor Sorochan,Vasyl Matviichuk,Over O 71.5,1.83,1.0
Setka Cup,Stefan Yakimenko,Andrii Kurtenko,Under U 76.5,1.83,0.0
Setka Cup,Oleh Kurylenko,Roman Tveritinov,Under U 75.5,1.83,1.0
Setka Cup,Mykola Pohorilyi,Serhii Honcharenko,Under U 77.5,1.83,0.0
Setka Cup,Yurii Parahailo,Volodymyr Kuzmych,Over O 76.5,1.83,1.0
Setka Cup,Vitalii Mukhin,Oleh Ponomarenko,Under U 75.5,1.83,1.0
Setka Cup,Vit Kilian,Michal Snizek,Over O 76.5,1.83,0.0
Setka Cup,Ruslan Novak,Oles Kotsyumbas,Over O 74.5,1.83,1.0
Setka Cup,Denys Khavanskyi,Stefan Yakimenko,Under U 77.5,1.83,1.0
Setka Cup,Daniil Yevdokymov,Anatolii Kovalenko,Over O 74.5,1.83,1.0
Setka Cup,Mykhailo Vivatenko,Evhenii Trehub,Under U 76.5,1.83,1.0
Setka Cup,Maksym Tkalich,Fedir Voinarovskyi,Over O 75.5,1.83,1.0
Setka Cup,Volodymyr Kuzmych,Ruslan Novak,Over O 76.5,1.83,0.0
Setka Cup,Oleh Ponomarenko,Oleksandr Leonenko,Under U 76.5,1.83,1.0
Setka Cup,Denys Khavanskyi,Serhii Solomko,Under U 75.5,1.83,1.0
Setka Cup,Oleksandr Lyman,Viktor Ziakun,Under U 71.5,1.83,0.0
Setka Cup,Evhenii Trehub,Mykola Kulynych,Under U 75.5,1.83,0.0
Setka Cup,Maksym Hubenko,Oleksandr Syksa,Over O 77.5,1.83,1.0
Setka Cup,Vitalii Levshyn,Dmytro Zeniuk,Over O 67.5,1.83,1.0
Setka Cup,Yurii Urezchenko,Mykola Pohorilyi,Under U 77.5,1.83,0.0
Setka Cup,Dmytro Prylepa,Serhii Miroshnychenko,Over O 73.5,1.83,0.0
Setka Cup,Michal Makara,Filip Vesely,Under U 76.5,1.83,0.0
Setka Cup,Evhenii Trehub,Bohdan Pyrtyk,Under U 73.5,2.0,0.0
Setka Cup,Marek Drbohlav,Ondrej Mezera,Over O 77.5,1.83,1.0
Setka Cup,Anatolii Nikolenko,Mykola Kulynych,Under U 75.5,1.83,1.0
Setka Cup,Viacheslav Simchuk,Serhii Honcharenko,Over O 74.5,1.83,0.0
Setka Cup,Evhenii Trehub,Anatolii Nikolenko,Under U 76.5,1.9,1.0
Setka Cup,Michal Makara,Marek Drbohlav,Over O 78.5,1.83,1.0
Setka Cup,Vitalii Levshyn,Roman Zholubak,Over O 72.5,1.83,0.0
Setka Cup,Viacheslav Simchuk,Viktor Hyriavyi,Over O 76.5,1.83,0.0
Setka Cup,Serhii Honcharenko,Mykola Pohorilyi,Under U 77.5,1.83,1.0
Setka Cup,Karel Jirousek,Pavel Moulis,Under U 76.5,1.83,0.0
Setka Cup,Oleh Karpenko,Oleksandr Mytsyk,Under U 77.5,1.83,1.0
Setka Cup,Viacheslav Simchuk,Yurii Urezchenko,Over O 72.5,1.83,1.0
Setka Cup,Bohdan Pyrtyk,Mykola Kulynych,Under U 75.5,1.83,0.0
Setka Cup,Serhii Miroshnychenko,Oleksandr Syksa,Over O 77.5,1.83,1.0
Setka Cup,Maksym Hubenko,Dmytro Prylepa,Over O 74.5,1.83,1.0
Setka Cup,Anatolii Nikolenko,Bohdan Pyrtyk,Under U 75.5,1.83,1.0
Setka Cup,Karel Jirousek,Martin Obraz,Under U 76.5,1.83,1.0
Setka Cup,Oleksii Gazhula,Yaroslav Tebenko,Under U 75.5,1.83,1.0
Setka Cup,Vitalii Korniichuk,Mykola Chornobai,Over O 78.5,1.83,0.0
Setka Cup,Valerii Merzlikin,Oleksandr Strutinskiy,Over O 76.5,1.83,0.0
Setka Cup,Oleh Ponomarenko,Oleksandr Ovsiienko,Under U 76.5,1.83,1.0
Setka Cup,Oleksandr Bryzhevatyi,Oleksandr Ovsiienko,Under U 76.5,1.83,1.0
Setka Cup,Vitalii Khamurda,Oleksii Shyndel,Over O 75.5,1.83,1.0
Setka Cup,Oleksandr Bryzhevatyi,Oleh Ponomarenko,Under U 73.5,1.83,0.0
Setka Cup,Oleksii Gazhula,Denys Maltsev,Under U 75.5,1.83,1.0
Setka Cup,Ivan Pytsko,Maksym Khomenko,Under U 75.5,1.83,1.0
Setka Cup,Denys Maltsev,Yaroslav Tebenko,Under U 75.5,1.83,0.0
Setka Cup,Denys Kantarevych,Mykhailo Potapov,Over O 77.5,1.83,0.0
Setka Cup,Oleksandr Naida,Dmytro Rehotun,Under U 75.5,1.83,0.0
Setka Cup,Oleksandr Dukhovenko,Eduard Rubtsov,Over O 65.5,1.83,0.0
Setka Cup,Andrii Homylko,Viktor Sharpai,Over O 74.5,1.9,1.0
Setka Cup,Serhii Khandetskyi,Viktor Sharpai,Over O 74.5,1.83,0.0
Setka Cup,Serhii Khandetskyi,Andrii Homylko,Over O 75.5,1.83,1.0
Setka Cup,Anatolii Kovalenko,Sergey Osipov,Under U 75.5,1.9,1.0
Setka Cup,Oleh Miklukha,Maksym Tkalich,Over O 73.5,1.83,1.0
Setka Cup,Yurii Urezchenko,Serhii Honcharenko,Over O 75.5,1.83,1.0
Setka Cup,Oleh Volynets,Bohdan Zaika,Under U 77.5,1.83,1.0
Setka Cup,Maksym Khomenko,Ivan Pytsko,Under U 75.5,1.83,0.0
Setka Cup,Martin Vorel,Jaroslav Puk,Over O 78.5,1.83,0.0
Setka Cup,Viktor Hyriavyi,Viacheslav Simchuk,Over O 76.5,1.83,1.0
Setka Cup,Serhii Priadko,Viktor Ziakun,Under U 77.5,1.83,1.0
Setka Cup,Yurii Leymanovsky,Mykyta Zinov,Under U 76.5,1.83,1.0
Setka Cup,Anatolii Kovalenko,Maksym Tkalich,Over O 76.5,1.83,0.0
Setka Cup,Oleksandr Ziakun,Ihor Torhachov,Over O 71.5,1.83,0.0
Setka Cup,Denys Kantarevych,Ivan Pytsko,Under U 76.5,1.83,1.0
Setka Cup,Oleksii Gazhula,Denys Maltsev,Under U 75.5,1.9,1.0
Setka Cup,Martin Vorel,Oleh Plyska,Over O 76.5,1.83,0.0
Setka Cup,Oleksandr Ovsiienko,Sergey Osipov,Under U 76.5,1.83,1.0
Setka Cup,Yurii Urezchenko,Viktor Hyriavyi,Over O 74.5,1.83,0.0
Setka Cup,Oleh Volynets,Oleh Karpenko,Under U 73.5,1.83,1.0
Setka Cup,Ondrej Mezera,Filip Vesely,Over O 75.5,1.83,1.0
Setka Cup,Karel Jirousek,Jaroslav Puk,Over O 77.5,2.0,0.0
Setka Cup,Oleh Miklukha,Maksym Stetsenko,Over O 74.5,1.83,1.0
Setka Cup,Yurii Zvolynskyi,Viacheslav Simchuk,Over O 74.5,1.83,0.0
Setka Cup,Andrii Martyniuk,Bohdan Zaika,Under U 76.5,1.72,0.0
Setka Cup,Maksym Khomenko,Yaroslav Tebenko,Under U 72.5,1.83,0.0
Setka Cup,Dominik Horak,Ondrej Mezera,Over O 77.5,1.83,1.0
Setka Cup,Ilia Ostryi,Denys Maltsev,Under U 77.5,1.83,1.0
Setka Cup,Martin Vorel,Karel Jirousek,Over O 76.5,1.83,1.0
Setka Cup,Viktor Hyriavyi,Serhii Honcharenko,Over O 73.5,1.83,0.0
Setka Cup,Yurii Volkov,Stepan Grygorenko,Over O 75.5,1.83,1.0
Setka Cup,Marek Drbohlav,Filip Vesely,Over O 76.5,1.83,1.0
Setka Cup,Oleh Plyska,Jaroslav Puk,Over O 75.5,1.83,0.0
Setka Cup,Yurii Urezchenko,Viacheslav Simchuk,Over O 74.5,1.83,0.0
Setka Cup,Serhii Priadko,Ihor Torhachov,Under U 77.5,1.83,1.0
Setka Cup,Oleh Volynets,Andrii Martyniuk,Under U 76.5,1.83,0.0
Setka Cup,Yaroslav Tebenko,Ivan Pytsko,Under U 76.5,1.83,0.0
Setka Cup,Stepan Grygorenko,Oleh Karpenko,Over O 74.5,1.83,0.0
Setka Cup,Oleksii Gazhula,Ilia Ostryi,Under U 75.5,1.83,1.0
Setka Cup,Viacheslav Simchuk,Serhii Honcharenko,Over O 74.5,1.83,0.0
Setka Cup,Yurii Volkov,Bohdan Zaika,Under U 77.5,1.83,1.0
Setka Cup,Denys Kantarevych,Yaroslav Tebenko,Under U 78.5,1.83,1.0
Setka Cup,Oleksandr Ivchuk,Mykyta Zinov,Under U 76.5,1.83,1.0
Setka Cup,Vojtech Grubr,Ladislav Dobias,Over O 74.5,1.8,0.0
Setka Cup,Yurii Volkov,Andrii Martyniuk,Under U 76.5,1.83,1.0
Setka Cup,Anatolii Kovalenko,Oleh Miklukha,Over O 76.5,1.83,1.0
Setka Cup,Oleksandr Ziakun,Serhii Miroshnychenko,Over O 77.5,1.83,1.0
Setka Cup,Oleh Karpenko,Bohdan Zaika,Under U 77.5,1.83,0.0
Setka Cup,Denys Kantarevych,Maksym Khomenko,Under U 76.5,1.83,1.0
Setka Cup,Valerii Merzlikin,Daniil Habrelyan,Over O 75.5,1.83,0.0
Setka Cup,Maksym Stetsenko,Sergey Osipov,Under U 76.5,1.83,0.0
Setka Cup,Oleh Volynets,Yurii Volkov,Under U 75.5,1.83,0.0
Setka Cup,Oleksandr Ovsiienko,Maksym Tkalich,Over O 77.5,1.83,
Setka Cup,Viktor Ziakun,Ihor Torhachov,Under U 76.5,1.83,1.0
Setka Cup,Martin Obraz,Pavel Moulis,Under U 76.5,1.83,1.0
Setka Cup,Oleg Sapuzhak,Denys Kozoriz,Under U 77.5,1.72,1.0
Setka Cup,Andrii Martyniuk,Oleh Karpenko,Under U 77.5,1.8,1.0
Setka Cup,Roman Mazur,Serhii Kryvoshyi,Under U 76.5,1.83,0.0
Setka Cup,Oleh Kurylenko,Oleksandr Lyman,Under U 77.5,1.83,1.0
Setka Cup,Yaroslav Kovshun,Daniil Habrelyan,Over O 77.5,1.83,0.0
Setka Cup,Petr Semrad,Ondrej Mezera,Over O 77.5,1.83,1.0
Setka Cup,Valerii Merzlikin,Maksym Tiutiunnyk,Over O 76.5,1.83,0.0
Setka Cup,Yaroslav Kovshun,Evhenii Hrytsenko,Under U 76.5,1.83,1.0
Setka Cup,Andrii Kurtenko,Oleksandr Leonenko,Under U 76.5,1.83,0.0
Setka Cup,Roman Mazur,Denys Kozoriz,Under U 74.5,1.83,1.0
Setka Cup,Roman Horokh,Serhii Kiilo,Over O 68.5,1.83,1.0
Setka Cup,Yevhenii Sokoltsov,Hryhorii Kulishov,Under U 76.5,1.83,1.0
Setka Cup,Oleg Sapuzhak,Serhii Kryvoshyi,Under U 76.5,1.83,0.0
Setka Cup,Valerii Merzlikin,Yaroslav Kovshun,Over O 76.5,1.83,0.0
Setka Cup,Maksym Tiutiunnyk,Daniil Habrelyan,Over O 77.5,1.83,1.0
Setka Cup,Stefan Yakimenko,Andrii Kurtenko,Under U 76.5,1.83,1.0
Setka Cup,Serhii Solomko,Oleksandr Leonenko,Under U 77.5,1.83,1.0
Setka Cup,Oleg Sapuzhak,Roman Mazur,Under U 77.5,1.72,1.0
Setka Cup,Serhii Solomko,Andrii Kurtenko,Under U 77.5,1.83,0.0
Setka Cup,Hryhorii Kulishov,Serhii Chuliukov,Under U 76.5,1.83,0.0
Setka Cup,Serhii Solomko,Stefan Yakimenko,Under U 76.5,1.83,0.0
Setka Cup,Yaroslav Stepanchuk,Oleksandr Maslov,Under U 76.5,1.83,0.0
Setka Cup,Andrii Homylko,Serhii Khandetskyi,Over O 75.5,1.83,0.0
Setka Cup,Volodymyr Okopnyi,Myroslav Loboda,Under U 77.5,1.83,1.0
Setka Cup,Andriy Chermenskyi,Eduard Rubtsov,Under U 76.5,1.83,0.0
Setka Cup,Volodymyr Korobko,Oleksandr Budnikov,Under U 76.5,1.83,0.0
Setka Cup,Andrii Homylko,Viktor Sharpai,Over O 73.5,1.83,0.0
Setka Cup,Volodymyr Okopnyi,Volodymyr Korobko,Under U 75.5,1.83,1.0
Setka Cup,Serhii Khandetskyi,Viktor Sharpai,Over O 74.5,1.83,0.0
Setka Cup,Andriy Chermenskyi,Spartak Abalmaz,Under U 77.5,1.8,1.0
Setka Cup,Oleg Sapuzhak,Denys Kozoriz,Under U 76.5,1.83,0.0
Setka Cup,Valerii Kolesnykov,Kyrylo Riazanovskyi,Under U 76.5,1.83,1.0
